Date updated,County code,County,Total cases ,Confirmed cases,Probable cases,Total case rate,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths
04/03/2020,5,New Haven,891,,,,293,18,,
04/03/2020,6,New London,40,,,,9,3,,
04/03/2020,7,Tolland,79,,,,3,10,,
04/03/2020,8,Windham,27,,,,3,0,,
04/04/2020,1,Fairfield,2824,,,,475,86,,
04/04/2020,2,Hartford,726,,,,184,26,,
04/04/2020,3,Litchfield,182,,,,15,5,,
04/04/2020,4,Middlesex,100,,,,19,4,,
04/04/2020,5,New Haven,1024,,,,324,29,,
04/04/2020,6,New London,57,,,,10,3,,
04/04/2020,7,Tolland,91,,,,3,10,,
04/04/2020,8,Windham,31,,,,3,1,,
04/05/2020,1,Fairfield,3050,,,,531,96,,
04/05/2020,2,Hartford,751,,,,189,29,,
04/05/2020,3,Litchfield,197,,,,15,6,,
04/05/2020,4,Middlesex,110,,,,19,5,,
04/05/2020,5,New Haven,1162,,,,372,36,,
04/05/2020,6,New London,57,,,,10,4,,
04/05/2020,7,Tolland,94,,,,3,11,,
04/05/2020,8,Windham,32,,,,3,1,,
04/06/2020,1,Fairfield,3719,,,,572,101,,
04/06/2020,2,Hartford,882,,,,213,31,,
04/06/2020,3,Litchfield,230,,,,15,8,,
04/06/2020,4,Middlesex,135,,,,22,7,,
04/06/2020,5,New Haven,1468,,,,384,41,,
04/06/2020,6,New London,65,,,,10,4,,
04/06/2020,7,Tolland,103,,,,3,13,,
04/06/2020,8,Windham,40,,,,2,1,,
04/07/2020,1,Fairfield,4136,,,,613,132,,
04/07/2020,2,Hartford,1045,,,,243,48,,
04/07/2020,3,Litchfield,255,,,,17,9,,
04/07/2020,4,Middlesex,150,,,,26,7,,
04/07/2020,5,New Haven,1664,,,,390,60,,
04/07/2020,6,New London,85,,,,12,4,,
04/07/2020,7,Tolland,111,,,,4,13,,
04/07/2020,8,Windham,43,,,,3,1,,
04/08/2020,1,Fairfield,4417,,,,665,155,,
04/08/2020,2,Hartford,1290,,,,251,68,,
04/08/2020,3,Litchfield,292,,,,20,12,,
04/08/2020,4,Middlesex,174,,,,28,9,,
04/08/2020,5,New Haven,1945,,,,428,70,,
04/08/2020,6,New London,120,,,,16,5,,
04/08/2020,7,Tolland,128,,,,7,13,,
04/08/2020,8,Windham,49,,,,3,1,,
04/09/2020,1,Fairfield,4882,,,,664,178,,
04/09/2020,2,Hartford,1471,,,,276,75,,
04/09/2020,3,Litchfield,315,,,,25,13,,
04/09/2020,4,Middlesex,205,,,,26,14,,
04/09/2020,5,New Haven,2183,,,,447,78,,
04/09/2020,6,New London,139,,,,15,6,,
04/09/2020,7,Tolland,145,,,,7,13,,
04/09/2020,8,Windham,52,,,,4,1,,
04/10/2020,1,Fairfield,5180,,,,685,203,,
04/10/2020,2,Hartford,1615,,,,296,88,,
04/10/2020,3,Litchfield,346,,,,32,16,,
04/10/2020,4,Middlesex,240,,,,28,17,,
04/10/2020,5,New Haven,2383,,,,493,98,,
04/10/2020,6,New London,156,,,,17,7,,
04/10/2020,7,Tolland,152,,,,6,14,,
04/10/2020,8,Windham,59,,,,5,1,,
04/11/2020,1,Fairfield,5407,,,,676,220,,
04/11/2020,2,Hartford,1832,,,,311,101,,
04/11/2020,3,Litchfield,388,,,,38,20,,
04/11/2020,4,Middlesex,290,,,,27,18,,
04/11/2020,5,New Haven,2715,,,,514,107,,
04/11/2020,6,New London,185,,,,16,7,,
04/11/2020,7,Tolland,171,,,,7,15,,
04/11/2020,8,Windham,66,,,,4,1,,
04/12/2020,1,Fairfield,5534,,,,688,248,,
04/12/2020,2,Hartford,1914,,,,333,116,,
04/12/2020,3,Litchfield,403,,,,39,24,,
04/12/2020,4,Middlesex,299,,,,32,18,,
04/12/2020,5,New Haven,2946,,,,535,119,,
04/12/2020,6,New London,190,,,,16,7,,
04/12/2020,7,Tolland,182,,,,7,17,,
04/12/2020,8,Windham,66,,,,4,1,,
04/13/2020,1,Fairfield,6004,,,,710,262,,
04/13/2020,2,Hartford,2243,,,,361,133,,
04/13/2020,3,Litchfield,446,,,,37,24,,
04/13/2020,4,Middlesex,339,,,,35,19,,
04/13/2020,5,New Haven,3358,,,,580,135,,
04/13/2020,6,New London,222,,,,20,7,,
04/13/2020,7,Tolland,195,,,,13,17,,
04/13/2020,8,Windham,83,,,,4,1,,
04/14/2020,1,Fairfield,6213,,,,731,287,,
04/14/2020,2,Hartford,2370,,,,369,153,,
04/14/2020,3,Litchfield,460,,,,35,29,,
04/14/2020,4,Middlesex,355,,,,38,21,,
04/14/2020,5,New Haven,3543,,,,572,151,,
04/14/2020,6,New London,227,,,,17,7,,
04/14/2020,7,Tolland,201,,,,12,18,,
04/14/2020,8,Windham,87,,,,5,1,,
04/15/2020,1,Fairfield,6480,,,,784,365,,
04/15/2020,2,Hartford,2570,,,,402,213,,
04/15/2020,3,Litchfield,490,,,,32,35,,
04/15/2020,4,Middlesex,379,,,,40,28,,
04/15/2020,5,New Haven,3758,,,,612,195,,
04/15/2020,6,New London,236,,,,21,7,,
04/15/2020,7,Tolland,216,,,,11,22,,
04/15/2020,8,Windham,89,,,,6,1,,
04/16/2020,1,Fairfield,6816,,,,787,406,,
04/16/2020,2,Hartford,2859,,,,420,243,,
04/16/2020,3,Litchfield,535,,,,27,44,,
04/16/2020,4,Middlesex,394,,,,39,30,,
04/16/2020,5,New Haven,4163,,,,613,214,,
04/16/2020,6,New London,255,,,,23,9,,
04/16/2020,7,Tolland,241,,,,11,22,,
04/16/2020,8,Windham,87,,,,6,1,,
04/17/2020,1,Fairfield,7146,,,,797,425,,
04/17/2020,2,Hartford,3015,,,,410,266,,
04/17/2020,3,Litchfield,569,,,,28,46,,
04/17/2020,4,Middlesex,422,,,,37,32,,
04/17/2020,5,New Haven,4520,,,,633,229,,
04/17/2020,6,New London,292,,,,22,10,,
04/17/2020,7,Tolland,258,,,,12,24,,
04/17/2020,8,Windham,92,,,,7,2,,
04/18/2020,1,Fairfield,7363,,,,776,432,,
04/18/2020,2,Hartford,3196,,,,417,289,,
04/18/2020,3,Litchfield,593,,,,30,48,,
04/18/2020,4,Middlesex,448,,,,36,37,,
04/18/2020,5,New Haven,4743,,,,638,241,,
04/18/2020,6,New London,315,,,,23,10,,
04/18/2020,7,Tolland,270,,,,14,24,,
04/18/2020,8,Windham,97,,,,4,2,,
04/19/2020,1,Fairfield,7434,,,,746,447,,
04/19/2020,2,Hartford,3351,,,,420,295,,
04/19/2020,3,Litchfield,600,,,,27,48,,
04/19/2020,4,Middlesex,462,,,,33,40,,
04/19/2020,5,New Haven,4871,,,,633,257,,
04/19/2020,6,New London,339,,,,26,10,,
04/19/2020,7,Tolland,276,,,,12,24,,
04/19/2020,8,Windham,100,,,,4,2,,
04/20/2020,1,Fairfield,8320,,,,733,512,,
04/20/2020,2,Hartford,3823,,,,455,369,,
04/20/2020,3,Litchfield,639,,,,23,58,,
04/20/2020,4,Middlesex,484,,,,36,45,,
04/20/2020,5,New Haven,5272,,,,626,301,,
04/20/2020,6,New London,356,,,,29,13,,
04/20/2020,7,Tolland,299,,,,13,27,,
04/20/2020,8,Windham,108,,,,4,2,,
04/21/2020,1,Fairfield,8472,,,,735,544,,
04/21/2020,2,Hartford,3951,,,,473,402,,
04/21/2020,3,Litchfield,643,,,,23,59,,
04/21/2020,4,Middlesex,512,,,,40,47,,
04/21/2020,5,New Haven,5493,,,,625,322,,
04/21/2020,6,New London,369,,,,35,13,,
04/21/2020,7,Tolland,305,,,,13,30,,
04/21/2020,8,Windham,112,,,,5,2,,
04/22/2020,1,Fairfield,9883,,,,749,584,,
04/22/2020,2,Hartford,4128,,,,495,442,,
04/22/2020,3,Litchfield,722,,,,20,63,,
04/22/2020,4,Middlesex,525,,,,42,53,,
04/22/2020,5,New Haven,5811,,,,620,345,,
04/22/2020,6,New London,397,,,,32,14,,
04/22/2020,7,Tolland,331,,,,11,32,,
04/22/2020,8,Windham,122,,,,3,4,,
04/23/2020,1,Fairfield,10008,,,,730,615,,
04/23/2020,2,Hartford,4303,,,,490,469,,
04/23/2020,3,Litchfield,751,,,,22,66,,
04/23/2020,4,Middlesex,545,,,,38,57,,
04/23/2020,5,New Haven,6064,,,,626,372,,
04/23/2020,6,New London,419,,,,31,17,,
04/23/2020,7,Tolland,359,,,,6,33,,
04/23/2020,8,Windham,129,,,,4,4,,
04/24/2020,1,Fairfield,10227,,,,694,662,,
04/24/2020,2,Hartford,4570,,,,462,511,,
04/24/2020,3,Litchfield,808,,,,22,69,,
04/24/2020,4,Middlesex,561,,,,39,63,,
04/24/2020,5,New Haven,6286,,,,617,396,,
04/24/2020,6,New London,448,,,,33,23,,
04/24/2020,7,Tolland,375,,,,4,34,,
04/24/2020,8,Windham,139,,,,6,3,,
04/25/2020,1,Fairfield,10373,,,,649,689,,
04/25/2020,2,Hartford,4761,,,,443,553,,
04/25/2020,3,Litchfield,834,,,,22,73,,
04/25/2020,4,Middlesex,576,,,,41,62,,
04/25/2020,5,New Haven,6509,,,,610,416,,
04/25/2020,6,New London,473,,,,33,28,,
04/25/2020,7,Tolland,384,,,,6,35,,
04/25/2020,8,Windham,151,,,,6,3,,
04/26/2020,1,Fairfield,10529,,,1116,635,707,,
04/26/2020,2,Hartford,4989,,,559,426,579,,
04/26/2020,3,Litchfield,864,,,477,22,74,,
04/26/2020,4,Middlesex,588,,,361,37,66,,
04/26/2020,5,New Haven,6715,,,783,605,429,,
04/26/2020,6,New London,498,,,187,31,31,,
04/26/2020,7,Tolland,407,,,270,5,35,,
04/26/2020,8,Windham,157,,,134,5,3,,
04/27/2020,1,Fairfield,10763,,,1140,627,727,,
04/27/2020,2,Hartford,5157,,,578,429,612,,
04/27/2020,3,Litchfield,892,,,493,21,75,,
04/27/2020,4,Middlesex,609,,,374,37,69,,
04/27/2020,5,New Haven,6993,,,815,602,456,,
04/27/2020,6,New London,516,,,193,31,34,,
04/27/2020,7,Tolland,419,,,278,5,35,,
04/27/2020,8,Windham,164,,,140,6,3,,
04/28/2020,1,Fairfield,10874,,,1152,620,747,,
04/28/2020,2,Hartford,5224,,,585,418,643,,
04/28/2020,3,Litchfield,900,,,497,20,76,,
04/28/2020,4,Middlesex,618,,,380,31,70,,
04/28/2020,5,New Haven,7089,,,827,598,478,,
04/28/2020,6,New London,530,,,199,34,34,,
04/28/2020,7,Tolland,422,,,280,6,35,,
04/28/2020,8,Windham,164,,,140,5,3,,
04/29/2020,1,Fairfield,10985,,,1164,591,774,,
04/29/2020,2,Hartford,5388,,,604,403,670,,
04/29/2020,3,Litchfield,919,,,507,21,79,,
04/29/2020,4,Middlesex,631,,,388,37,76,,
04/29/2020,5,New Haven,7205,,,840,591,493,,
04/29/2020,6,New London,540,,,202,39,35,,
04/29/2020,7,Tolland,427,,,283,5,36,,
04/29/2020,8,Windham,165,,,141,4,2,,
04/30/2020,1,Fairfield,11294,,,1197,565,810,,
04/30/2020,2,Hartford,5601,,,627,416,698,,
04/30/2020,3,Litchfield,963,,,532,21,80,,
04/30/2020,4,Middlesex,657,,,404,42,79,,
04/30/2020,5,New Haven,7536,,,879,557,512,,
04/30/2020,6,New London,564,,,211,41,36,,
04/30/2020,7,Tolland,437,,,290,4,36,,
04/30/2020,8,Windham,186,,,159,4,2,,
05/01/2020,1,Fairfield,11612,,,1230,537,839,,
05/01/2020,2,Hartford,5931,,,664,413,715,,
05/01/2020,3,Litchfield,1014,,,560,22,86,,
05/01/2020,4,Middlesex,687,,,422,40,82,,
05/01/2020,5,New Haven,7900,,,921,533,533,,
05/01/2020,6,New London,603,,,226,38,42,,
05/01/2020,7,Tolland,446,,,296,6,38,,
05/01/2020,8,Windham,200,,,171,3,2,,
05/02/2020,1,Fairfield,11801,,,1250,525,865,,
05/02/2020,2,Hartford,6112,,,685,400,741,,
05/02/2020,3,Litchfield,1036,,,572,22,89,,
05/02/2020,4,Middlesex,707,,,435,37,91,,
05/02/2020,5,New Haven,8024,,,936,523,565,,
05/02/2020,6,New London,623,,,234,33,43,,
05/02/2020,7,Tolland,461,,,305,6,39,,
05/02/2020,8,Windham,211,,,180,5,2,,
05/03/2020,1,Fairfield,12245,,,1297,507,910,,
05/03/2020,2,Hartford,6173,,,692,362,773,,
05/03/2020,3,Litchfield,1047,,,578,23,94,,
05/03/2020,4,Middlesex,713,,,438,41,93,,
05/03/2020,5,New Haven,8110,,,946,487,595,,
05/03/2020,6,New London,641,,,240,33,45,,
05/03/2020,7,Tolland,464,,,307,6,40,,
05/03/2020,8,Windham,217,,,185,5,3,,
05/04/2020,1,Fairfield,12360,,,1310,519,935,,
05/04/2020,2,Hartford,6351,,,711,369,804,,
05/04/2020,3,Litchfield,1065,,,588,24,95,,
05/04/2020,4,Middlesex,734,,,451,42,95,,
05/04/2020,5,New Haven,8337,,,972,504,610,,
05/04/2020,6,New London,681,,,255,34,45,,
05/04/2020,7,Tolland,502,,,333,7,43,,
05/04/2020,8,Windham,223,,,191,1,4,,
05/05/2020,1,Fairfield,12455,,,1320,489,952,,
05/05/2020,2,Hartford,6530,,,731,361,842,,
05/05/2020,3,Litchfield,1085,,,599,21,100,,
05/05/2020,4,Middlesex,742,,,456,42,98,,
05/05/2020,5,New Haven,8419,,,982,487,629,,
05/05/2020,6,New London,704,,,264,36,47,,
05/05/2020,7,Tolland,513,,,340,6,44,,
05/05/2020,8,Windham,242,,,207,3,4,,
05/06/2020,1,Fairfield,12679,,,1343,469,977,,
05/06/2020,2,Hartford,6750,,,756,340,867,,
05/06/2020,3,Litchfield,1114,,,615,20,104,,
05/06/2020,4,Middlesex,764,,,470,45,104,,
05/06/2020,5,New Haven,8678,,,1012,468,643,,
05/06/2020,6,New London,742,,,278,35,49,,
05/06/2020,7,Tolland,522,,,346,5,46,,
05/06/2020,8,Windham,250,,,214,3,5,,
05/07/2020,1,Fairfield,12879,,,1365,439,1006,,
05/07/2020,2,Hartford,6904,,,773,348,884,,
05/07/2020,3,Litchfield,1130,,,624,17,103,,
05/07/2020,4,Middlesex,775,,,476,41,108,,
05/07/2020,5,New Haven,8887,,,1036,448,669,,
05/07/2020,6,New London,755,,,283,36,50,,
05/07/2020,7,Tolland,530,,,351,5,46,,
05/07/2020,8,Windham,249,,,213,2,5,,
05/08/2020,1,Fairfield,13030,,,1381,424,1017,,
05/08/2020,2,Hartford,7105,,,796,339,901,,
05/08/2020,3,Litchfield,1142,,,631,15,105,,
05/08/2020,4,Middlesex,789,,,485,44,114,,
05/08/2020,5,New Haven,9091,,,1060,437,686,,
05/08/2020,6,New London,775,,,290,33,54,,
05/08/2020,7,Tolland,540,,,358,5,46,,
05/08/2020,8,Windham,266,,,227,4,6,,
05/09/2020,1,Fairfield,13236,,,1402,403,1024,,
05/09/2020,2,Hartford,7263,,,814,316,909,,
05/09/2020,3,Litchfield,1153,,,637,19,107,,
05/09/2020,4,Middlesex,798,,,491,47,115,,
05/09/2020,5,New Haven,9209,,,1074,421,701,,
05/09/2020,6,New London,782,,,293,27,54,,
05/09/2020,7,Tolland,543,,,360,5,47,,
05/09/2020,8,Windham,270,,,231,4,7,,
05/10/2020,1,Fairfield,13312,,,1410,384,1034,,
05/10/2020,2,Hartford,7358,,,824,328,921,,
05/10/2020,3,Litchfield,1161,,,641,17,109,,
05/10/2020,4,Middlesex,801,,,492,42,115,,
05/10/2020,5,New Haven,9260,,,1080,405,716,,
05/10/2020,6,New London,784,,,294,26,56,,
05/10/2020,7,Tolland,545,,,361,4,47,,
05/10/2020,8,Windham,271,,,232,6,7,,
05/11/2020,1,Fairfield,13488,,,1429,378,1046,,
05/11/2020,2,Hartford,7528,,,843,320,931,,
05/11/2020,3,Litchfield,1171,,,647,21,110,,
05/11/2020,4,Middlesex,823,,,506,40,116,,
05/11/2020,5,New Haven,9430,,,1100,399,723,,
05/11/2020,6,New London,793,,,297,23,58,,
05/11/2020,7,Tolland,556,,,368,2,47,,
05/11/2020,8,Windham,281,,,240,6,7,,
05/12/2020,1,Fairfield,13636,,,1445,372,1068,,
05/12/2020,2,Hartford,7732,,,866,296,963,,
05/12/2020,3,Litchfield,1179,,,651,18,110,,
05/12/2020,4,Middlesex,837,,,515,36,116,,
05/12/2020,5,New Haven,9570,,,1116,404,745,,
05/12/2020,6,New London,804,,,301,24,60,,
05/12/2020,7,Tolland,560,,,371,3,49,,
05/12/2020,8,Windham,287,,,245,5,9,,
05/13/2020,1,Fairfield,13836,,,1466,362,1093,,
05/13/2020,2,Hartford,7935,,,889,269,999,,
05/13/2020,3,Litchfield,1203,,,664,14,115,,
05/13/2020,4,Middlesex,863,,,530,31,118,,
05/13/2020,5,New Haven,9712,,,1132,394,767,,
05/13/2020,6,New London,821,,,308,24,62,,
05/13/2020,7,Tolland,568,,,376,3,51,,
05/13/2020,8,Windham,291,,,249,6,11,,
05/14/2020,1,Fairfield,14009,,,1484,342,1109,,
05/14/2020,2,Hartford,8126,,,910,248,1025,,
05/14/2020,3,Litchfield,1218,,,673,14,115,,
05/14/2020,4,Middlesex,885,,,544,32,124,,
05/14/2020,5,New Haven,9881,,,1152,367,783,,
05/14/2020,6,New London,844,,,316,24,63,,
05/14/2020,7,Tolland,583,,,386,1,51,,
05/14/2020,8,Windham,301,,,257,5,12,,
05/15/2020,1,Fairfield,14140,,,1498,330,1125,,
05/15/2020,2,Hartford,8299,,,930,243,1044,,
05/15/2020,3,Litchfield,1234,,,681,10,116,,
05/15/2020,4,Middlesex,898,,,552,29,124,,
05/15/2020,5,New Haven,10075,,,1175,352,800,,
05/15/2020,6,New London,860,,,322,24,65,,
05/15/2020,7,Tolland,636,,,421,1,51,,
05/15/2020,8,Windham,304,,,260,5,12,,
05/16/2020,1,Fairfield,14248,,,1510,299,1146,,
05/16/2020,2,Hartford,8723,,,977,234,1069,,
05/16/2020,3,Litchfield,1269,,,701,10,116,,
05/16/2020,4,Middlesex,909,,,559,32,125,,
05/16/2020,5,New Haven,10159,,,1185,336,817,,
05/16/2020,6,New London,873,,,327,22,66,,
05/16/2020,7,Tolland,715,,,474,1,54,,
05/16/2020,8,Windham,313,,,267,3,14,,
05/17/2020,1,Fairfield,14439,,,1530,287,1153,,
05/17/2020,2,Hartford,8957,,,1004,235,1084,,
05/17/2020,3,Litchfield,1280,,,706,10,115,,
05/17/2020,4,Middlesex,936,,,575,32,131,,
05/17/2020,5,New Haven,10338,,,1205,331,830,,
05/17/2020,6,New London,876,,,328,21,66,,
05/17/2020,7,Tolland,735,,,485,1,54,,
05/17/2020,8,Windham,322,,,275,3,14,,
05/18/2020,1,Fairfield,14522,,,1539,287,1160,,
05/18/2020,2,Hartford,9050,,,1014,226,1090,,
05/18/2020,3,Litchfield,1290,,,712,11,117,,
05/18/2020,4,Middlesex,947,,,582,35,131,,
05/18/2020,5,New Haven,10427,,,1216,327,838,,
05/18/2020,6,New London,880,,,330,24,66,,
05/18/2020,7,Tolland,770,,,510,1,54,,
05/18/2020,8,Windham,326,,,279,3,14,,
05/19/2020,1,Fairfield,14719,,,1560,272,1167,,
05/19/2020,2,Hartford,9234,,,1034,222,1116,,
